Zero,,,,One,,,,Two,,,,Three,,,,Four,,,
x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper
79.1,3567.979895,3538.86738,3597.09241,98,3232.97448,3229.400958,3236.548002,118,3105.234478,3099.712414,3110.756542,141,3038.194744,3025.542295,3050.847193,175,3000.346326,2988.212976,3012.479677
80,3560.876625,3531.811539,3589.941711,99,3229.856027,3226.290474,3233.421581,119,3103.635297,3098.122219,3109.148376,143,3035.876803,3023.244326,3048.509279,177,2998.707942,2986.596777,3010.819107
81,3552.986941,3523.95576,3582.018121,99.9,3227.049906,3223.490169,3230.609642,120,3102.036168,3096.530675,3107.541661,144,3034.718352,3022.091573,3047.345131,179,2997.072834,2984.978044,3009.167625
81,3552.986941,3523.95576,3582.018121,100.24,3225.989935,3222.432062,3229.547808,121,3100.43709,3094.937778,3105.936402,145.825,3032.605073,3019.98135,3045.228797,181.613,2994.941503,2982.859355,3007.02365
82,3545.100244,3516.083145,3574.117343,101,3223.620826,3220.06645,3227.175201,123,3097.239088,3091.747904,3102.730273,147,3031.24508,3018.618327,3043.871834,184,2992.999399,2980.92016,3005.078638
82.8,3538.793038,3509.772926,3567.813149,102,3220.504077,3216.952899,3224.055255,124,3095.640165,3090.150921,3101.129408,149,3028.9313,3016.29045,3041.57215,186,2991.375758,2979.292632,3003.458884
83,3537.216535,3508.193689,3566.23938,103,3217.387896,3213.838316,3220.937476,125,3094.041292,3088.552573,3099.530012,150,3027.77493,3015.12284,3040.427019,188,2989.755393,2977.662647,3001.848139
84,3529.335813,3500.287431,3558.384195,104,3214.272283,3210.7227,3217.821865,127,3090.843702,3085.351778,3096.335625,152,3025.46323,3012.780367,3038.146093,191,2987.33099,2975.213153,2999.448826
84.42,3526.026801,3496.961809,3555.091793,105,3211.157238,3207.606053,3214.708422,128,3089.244983,3083.749335,3094.740632,154,3023.152917,3010.428359,3035.877474,193,2985.718816,2973.577217,2997.860415
85,3521.458079,3492.364447,3550.551711,106,3208.04276,3204.488378,3211.597143,129.16,3087.390535,3081.888797,3092.892273,156,3020.843991,3008.067004,3033.620978,196,2983.306698,2971.119047,2995.494349
86,3513.583332,3484.424854,3542.741809,107,3204.928851,3201.369679,3208.488022,131,3084.449137,3078.93386,3089.964414,157,3019.690048,3006.882886,3032.49721,198,2981.702715,2969.477521,2993.927909
86.6,3508.859918,3479.653189,3538.066646,108,3201.815509,3198.249965,3205.381053,132,3082.850624,3077.326004,3088.375245,159,3017.383202,3004.507912,3030.258493,201,2979.302883,2967.011299,2991.594467
87,3505.711572,3476.468808,3534.954336,109.14,3198.266993,3194.692265,3201.84172,134,3079.653753,3074.106287,3085.201219,161,3015.077744,3002.124156,3028.031332,203,2977.707091,2965.36465,2990.049532
88,3497.8428,3468.496501,3527.1891,110.9,3192.79003,3189.197149,3196.382912,135.75,3076.85666,3071.2847,3082.428619,163,3012.773673,2999.731878,3025.815468,206,2975.319545,2962.891144,2987.747947
89,3489.977016,3460.50816,3519.445871,112,3189.367822,3185.761175,3192.97447,137,3074.858832,3069.266836,3080.450827,165,3010.470989,2997.331352,3023.610625,209,2972.939371,2960.413685,2985.465057
90,3482.114219,3452.504047,3511.72439,113,3186.25732,3182.636565,3189.878075,139,3071.662475,3066.03408,3077.290869,167,3008.169691,2994.922864,3021.416518,212,2970.566569,2957.932612,2983.200525
90.78,3475.983311,3446.250075,3505.716547,114.11,3182.805328,3179.16716,3186.443496,141,3068.466323,3062.79628,3074.136366,170,3004.720346,2991.295858,3018.144835,215,2968.201138,2955.448281,2980.953995
91.96,3466.711802,3436.771372,3496.652233,116,3176.929221,3173.257238,3180.601205,143,3065.270377,3059.55355,3070.987204,172,3002.422517,2988.868783,3015.97625,219,2965.058698,2952.131409,2977.985986
93,3458.543752,3428.400121,3488.687384,117,3173.820991,3170.129035,3177.512947,145,3062.074636,3056.306017,3067.843255,174,3000.126074,2986.434815,3013.817333,222,2962.710467,2949.640924,2975.780011
94,3450.692905,3420.336098,3481.049712,119,3167.606234,3163.870131,3171.342336,147,3058.879101,3053.053816,3064.704386,177,2996.684011,2982.771625,3010.596397,226,2959.590961,2946.317233,2972.864689
95,3442.845045,3412.258013,3473.432077,120,3164.499707,3160.739481,3168.259932,149,3055.683772,3049.797089,3061.570454,179.9987,2993.246558,2979.096287,3007.396829,229,2957.259931,2943.822683,2970.697179
96.88,3428.099156,3397.034577,3459.163736,122,3158.288357,3154.475921,3162.100793,151,3052.488648,3046.535983,3058.441312,182,2990.954174,2976.636284,3005.272065,233,2954.163358,2940.494974,2967.831742
98,3419.319391,3387.943511,3450.695271,124,3152.079279,3148.209532,3155.949025,153,3049.293729,3043.270649,3055.316809,185,2987.520433,2972.938759,3002.102108,237,2951.079891,2937.166213,2964.993568
99.68,3406.156768,3374.278019,3438.035518,125.7,3146.803348,3142.881051,3150.725645,156,3044.501737,3038.365062,3050.638412,188,2984.089813,2969.230228,2998.949399,241,2948.009528,2933.837282,2962.181774
101,3395.820623,3363.51774,3428.123506,127.62,3140.846624,3136.860925,3144.832322,158.3,3040.828189,3034.598235,3047.058144,191,2980.662314,2965.511661,2995.812967,245,2944.952271,2930.509033,2959.395508
103,3380.169716,3347.178038,3413.161393,130,3133.465673,3129.395721,3137.535625,161,3036.516111,3030.170152,3042.86207,195,2976.09717,2960.539558,2991.654781,249,2941.908119,2927.182288,2956.633949
105,3364.530758,3330.797848,3398.263667,132,3127.265681,3123.120351,3131.411012,164,3031.725352,3025.242703,3038.208001,198,2972.676953,2956.801107,2988.552798,254,2938.121357,2923.027164,2953.215551
107,3348.90375,3314.380708,3383.426792,134,3121.067961,3116.843316,3125.292606,167,3026.935056,3020.308006,3033.562105,202,2968.121517,2951.805567,2984.437468,260,2933.604273,2918.047765,2949.160781
109,3333.288691,3297.930048,3368.647335,137,3111.77564,3107.425132,3116.126148,170.57,3021.235206,3014.426957,3028.043454,206,2963.571631,2946.799181,2980.34408,265,2929.862561,2913.905464,2945.819657
111,3317.685583,3281.449164,3353.922003,140,3102.48843,3098.00443,3106.97243,174,3015.759496,3008.768272,3022.75072,210,2959.027292,2941.783611,2976.270973,271,2925.399535,2908.945186,2941.853885
113.13,3301.081413,3263.867303,3338.295522,143,3093.20633,3088.581891,3097.83077,178,3009.374593,3002.159893,3016.589292,215,2953.354671,2935.50353,2971.205811,276,2921.702872,2904.821679,2938.584065
116,3278.730093,3240.134848,3317.325337,146,3083.929342,3079.158149,3088.700536,182,3002.990511,2995.542407,3010.438615,220,2947.690718,2929.214118,2966.167318,283,2916.561944,2899.06619,2934.057698
119,3255.392648,3215.283369,3295.501927,150,3071.567976,3066.592289,3076.543662,187,2995.011566,2987.259124,3002.764007,226,2940.905419,2921.657794,2960.153043,290,2911.461151,2893.333297,2929.589004
122,3232.08209,3190.395021,3273.76916,154,3059.215695,3054.02657,3064.404821,192,2987.033905,2978.964637,2995.103173,232,2934.132602,2914.094926,2954.170279,300,2904.243924,2885.187,2923.300847
126,3201.043171,3157.165814,3244.920529,158,3046.872501,3041.462089,3052.282914,197.17,2978.786355,2970.377869,2987.194841,239,2926.246761,2905.267303,2947.226219,309,2897.81845,2877.903207,2917.733693
130,3170.052052,3123.89923,3216.204874,163.62,3029.545665,3023.812906,3035.278423,204,2967.892761,2959.020331,2976.76519,247,2917.255177,2895.177819,2939.332534,319,2890.756846,2869.867539,2911.646153
135,3131.38037,3082.28276,3180.47798,169.8,3010.513018,3004.412771,3016.613265,212,2955.136109,2945.700718,2964.571501,256,2907.166171,2883.831969,2930.500374,332,2881.699213,2859.517575,2903.880851
141,3085.072938,3032.320931,3137.824945,177,2988.366415,2981.823952,2994.908878,220,2942.382746,2932.366731,2952.398761,267,2894.873308,2869.979454,2919.767162,347,2871.420102,2847.718723,2895.12148
148,3031.18353,2974.03658,3088.33048,185.47,2962.351084,2955.272917,2969.42925,231,2924.852242,2914.014327,2935.690158,281,2879.288529,2852.3835,2906.193558,364,2859.993229,2834.541856,2885.444603
157.38,2959.201226,2895.997889,3022.404563,196.99,2927.033166,2919.205867,2934.860464,244.741,2902.962191,2891.067305,2914.857077,297,2861.560576,2832.334452,2890.786699,385,2846.20449,2818.562648,2873.846333
170,2862.769818,2791.205981,2934.333654,211,2884.182988,2875.421534,2892.944443,263,2873.889768,2860.551552,2887.227984,319,2837.329585,2804.891608,2869.767562,416,2826.509856,2795.597143,2857.422568
189,2718.485227,2634.049541,2802.920913,233,2817.120007,2806.858137,2827.381878,291,2829.340769,2813.730068,2844.95147,353,2800.211807,2762.795712,2837.627901,467,2795.821681,2759.475162,2832.1682
226,2440.604978,2330.643649,2550.566307,275,2689.853935,2676.667387,2703.040482,344,2745.126183,2725.100138,2765.152229,418,2730.367049,2683.432004,2777.302094,552.38,2749.214742,2703.688992,2794.740493
10815.25,90992.80248,41627.18558,140358.4194,15439.11,22215.31358,16228.4559,28202.17126,60506.7,232.440658,-3738.027345,4202.908661,3094,1126.640626,-609.4193434,2862.700595,4823,8036.490544,5902.320675,10170.66041
