new_x,new_y,new_ci_lower,new_ci_upper,old_x,old_y,old_ci_lower,old_ci_upper
106.29,3890.020854,3862.310451,3917.731258,99,3351.527907,3334.069764,3368.986049
107.66,3874.475987,3846.508453,3902.443521,100,3346.46107,3328.972522,3363.949618
109,3859.278869,3831.036761,3887.520976,101,3341.394404,3323.868955,3358.919854
110,3847.942471,3819.481007,3876.403936,102.41,3334.250697,3316.66226,3351.839134
111,3836.610122,3807.91728,3865.302964,104,3326.195435,3308.520754,3343.870117
112,3825.28182,3796.345884,3854.217757,105,3321.129455,3303.392369,3338.866541
113,3813.957567,3784.767126,3843.148008,107,3310.998008,3293.117515,3328.878501
114,3802.637361,3773.181316,3832.093406,108,3305.932541,3287.971195,3323.893887
115.62,3784.307218,3754.398138,3814.216298,110,3295.802122,3277.661182,3313.943062
117,3768.701031,3738.384696,3799.017366,111,3290.737169,3272.497666,3308.976672
118,3757.397017,3726.773795,3788.020238,113,3280.607777,3262.154085,3299.061469
120,3734.801132,3703.535796,3766.066467,115,3270.47907,3251.789105,3289.169035
121.221,3721.014304,3689.339214,3752.689394,117,3260.351048,3241.403557,3279.29854
123,3700.937664,3668.642786,3733.232541,119,3250.223712,3230.9983,3269.449123
125,3678.382258,3645.360135,3711.404381,121,3240.09706,3220.57421,3259.61991
127,3655.843043,3622.063531,3689.622556,123,3229.971093,3210.132168,3249.810018
128,3644.579508,3610.410649,3678.748367,126,3214.783428,3194.437373,3235.129482
130.06,3621.389383,3586.397412,3656.381354,128.21,3203.596167,3182.85268,3224.339653
132.22,3597.091973,3561.208345,3632.9756,131,3189.474077,3168.201926,3210.746227
135,3565.848101,3528.777344,3602.918857,134.5,3171.760079,3149.785384,3193.734774
138,3532.166787,3493.76969,3570.563884,138,3154.048179,3131.330973,3176.765385
141,3498.521905,3458.756321,3538.287489,142,3133.808576,3110.19872,3157.418433
144,3464.913453,3423.741684,3506.085222,146,3113.571714,3089.027155,3138.116273
148,3420.158855,3377.060323,3463.257388,151,3088.27949,3062.514453,3114.044526
152,3375.469023,3330.39192,3420.546126,157,3057.934472,3030.638816,3085.230127
158,3308.555711,3260.428665,3356.682758,163,3027.595619,2998.708213,3056.483026
164,3241.788123,3190.529588,3293.046659,171,2987.153407,2956.064991,3018.241823
170,3175.166259,3120.710079,3229.62244,180.26,2940.355232,2906.628474,2974.08199
178.2,3084.352046,3025.440482,3143.263611,192.28132,2879.623809,2842.359822,2916.887796
189,2965.158395,2900.264071,3030.05272,209,2795.20258,2752.865304,2837.539856
206,2778.495275,2704.001339,2852.98921,233,2674.097898,2624.267894,2723.927901
234,2473.600301,2383.011911,2564.188691,280,2437.220311,2372.313773,2502.126849
8190,44402.07188,19064.81639,69739.32737,60506.7,9745.040665,-32465.91221,51955.99353
