flat_x,flat_y,flat_ci_lower,flat_ci_upper,terrace_x,terrace_y,terrace_ci_lower,terrace_ci_upper,semi_x,semi_y,semi_ci_lower,semi_ci_upper,detached_x,detached_y,detached_ci_lower,detached_ci_upper
51.5,3908.91107,3824.022098,3993.800042,71,3239.78199,3237.818462,3241.745518,76,3508.258869,3506.452901,3510.064838,100,3824.109339,3821.615796,3826.602882
52,3899.24655,3815.000929,3983.492171,71.4,3235.83708,3233.882723,3237.791437,76.38,3504.229423,3502.430723,3506.028123,101,3818.228741,3815.749578,3820.707904
52.06,3898.087003,3813.916832,3982.257175,72,3229.920867,3227.979827,3231.861907,77,3497.655659,3495.868476,3499.442842,102,3812.348338,3809.883178,3814.813498
53,3879.926255,3796.888037,3962.964472,72.6,3224.006036,3222.077776,3225.934295,77.47,3492.672814,3490.894073,3494.451555,103,3806.46813,3804.016589,3808.919671
53,3879.926255,3796.888037,3962.964472,73,3220.063582,3218.143541,3221.983624,78,3487.05437,3485.284847,3488.823893,104.16,3799.647333,3797.211101,3802.083564
54,3860.617618,3778.677416,3942.557821,73.8,3212.180518,3210.276172,3214.084864,78.7,3479.63461,3477.876763,3481.392458,105.28,3793.061984,3790.640027,3795.48394
54,3860.617618,3778.677416,3942.557821,74,3210.210136,3208.309558,3212.110714,79,3476.455002,3474.701981,3478.208022,106.33,3786.888441,3784.479407,3789.297476
55,3841.320642,3760.364854,3922.276429,74.89,3201.443797,3199.559212,3203.328381,79.68,3469.248528,3467.506052,3470.991005,107.26,3781.420626,3779.022659,3783.818593
55,3841.320642,3760.364854,3922.276429,75,3200.360528,3198.477832,3202.243224,80,3465.857554,3464.119846,3467.595263,108.14,3776.246934,3773.859108,3778.63476
55.68,3828.205357,3747.852055,3908.55866,76,3190.514758,3188.64832,3192.381196,80.8,3457.38098,3455.654643,3459.107316,109.1,3770.603078,3768.225943,3772.980214
56,3822.035324,3741.946401,3902.124247,76,3190.514758,3188.64832,3192.381196,81,3455.262028,3453.538411,3456.985645,110.1,3764.724253,3762.357835,3767.090672
56.2,3818.17966,3738.249679,3898.10964,77,3180.672826,3178.820982,3182.52467,82,3444.668423,3442.957646,3446.379199,111,3759.433477,3757.076334,3761.790621
57,3802.761666,3723.418445,3882.104887,77,3180.672826,3178.820982,3182.52467,82,3444.668423,3442.957646,3446.379199,112,3753.555022,3751.207768,3755.902276
57,3802.761666,3723.418445,3882.104887,77.91,3171.720004,3169.879962,3173.560046,83,3434.076738,3432.377524,3435.775952,113,3747.676762,3745.338953,3750.014571
58,3783.499667,3704.777784,3862.221549,78,3170.834733,3168.99578,3172.673685,83,3434.076738,3432.377524,3435.775952,114,3741.798696,3739.469884,3744.127508
58,3783.499667,3704.777784,3862.221549,78.85,3162.475371,3160.646013,3164.304729,84,3423.486974,3421.79802,3425.175929,115,3735.920826,3733.600556,3738.241095
58.78,3768.483401,3690.15806,3846.808743,79,3161.000477,3159.172681,3162.828273,84,3423.486974,3421.79802,3425.175929,116,3730.04315,3727.730963,3732.355336
59,3764.249327,3686.021698,3842.476956,79.9,3152.152929,3150.333666,3153.972193,84.7,3416.075283,3414.392722,3417.757843,117,3724.165669,3721.861102,3726.470236
59.22,3760.015817,3681.879641,3838.151993,80,3151.17006,3149.351656,3152.988465,85,3412.899132,3411.21911,3414.579153,118,3718.288382,3715.990966,3720.585799
60,3745.010647,3667.148008,3822.873285,80.98,3141.539976,3139.729038,3143.350913,85.76,3404.853656,3403.179524,3406.527788,119.01,3712.352521,3710.061847,3714.643195
60,3745.010647,3667.148008,3822.873285,81,3141.343482,3139.532678,3143.154285,86,3402.31321,3400.640775,3403.985645,120.2,3705.359038,3703.075683,3707.642393
60.84,3728.859165,3651.202049,3806.516282,82,3131.520741,3129.715728,3133.325754,86.94,3392.364195,3390.697647,3394.030743,121.8,3695.956471,3693.681881,3698.231061
61,3725.783625,3648.155133,3803.412118,82,3131.520741,3129.715728,3133.325754,87,3391.729209,3390.062995,3393.395423,123,3688.904873,3686.636039,3691.173707
61.29,3720.20997,3642.624754,3797.795186,83,3121.701839,3119.900791,3123.502886,88,3381.147129,3379.485758,3382.808501,124,3683.028755,3680.764178,3685.293332
62,3706.568263,3629.042129,3784.094398,83,3121.701839,3119.900791,3123.502886,88,3381.147129,3379.485758,3382.808501,125,3677.152832,3674.892019,3679.413645
62,3706.568263,3629.042129,3784.094398,84,3111.886775,3110.087857,3113.685692,89,3370.56697,3368.909051,3372.224889,126,3671.277104,3669.019559,3673.534649
63,3687.364561,3609.808713,3764.920408,84,3111.886775,3110.087857,3113.685692,89,3370.56697,3368.909051,3372.224889,127,3665.401571,3663.146796,3667.656346
63,3687.364561,3609.808713,3764.920408,85,3102.075549,3100.276922,3103.874176,90,3359.988732,3358.332867,3361.644597,128.54,3656.353631,3654.102144,3658.605118
63.99,3668.36438,3590.649402,3746.079358,85.42,3097.955979,3096.156925,3099.755032,90.97,3349.729676,3348.074464,3351.384889,130,3647.77614,3645.526672,3650.025609
64,3668.172517,3590.455276,3745.889758,86,3092.268161,3090.467987,3094.068335,91,3349.412415,3347.757201,3351.067628,131,3641.901386,3639.652681,3644.150091
64.69,3654.936805,3577.031951,3732.841659,86.8,3084.425015,3082.622284,3086.227746,92,3338.838019,3337.182053,3340.493984,132.16,3635.086915,3632.838466,3637.335365
65,3648.992133,3570.982872,3727.001394,87,3082.464612,3080.661059,3084.268164,93,3328.265543,3326.607425,3329.923661,134,3624.278293,3622.028857,3626.527728
65.57,3638.064531,3559.830994,3716.298069,88,3072.664901,3070.856151,3074.47365,93.24,3325.728435,3324.069593,3327.387277,135,3618.404318,3616.153632,3620.655003
66,3629.823408,3551.393194,3708.253623,88,3072.664901,3070.856151,3074.47365,94,3317.694989,3316.033324,3319.356654,137,3606.656952,3604.402262,3608.911643
66.57,3618.902452,3540.175459,3697.629446,89,3062.869028,3061.053281,3064.684774,95,3307.126355,3305.459759,3308.792952,138.25,3599.315245,3597.057036,3601.573453
67,3610.666343,3531.688535,3689.644151,89.92,3053.860215,3052.036461,3055.683968,96,3296.559643,3294.886743,3298.232543,140,3589.037365,3586.772928,3591.301803
67.9,3593.434953,3513.85837,3673.011536,90,3053.076993,3051.252472,3054.901514,96.86,3287.473806,3285.794401,3289.153212,141.9,3577.8792,3575.606292,3580.152108
68,3591.520937,3511.871734,3671.170139,91,3043.288797,3041.453752,3045.123841,97.33,3282.508892,3280.825511,3284.192272,143,3571.419531,3569.140914,3573.698148
69,3572.38719,3491.946119,3652.82826,92,3033.504438,3031.657152,3035.351725,98,3275.431981,3273.742427,3277.121534,145,3559.675282,3557.38479,3561.965775
69,3572.38719,3491.946119,3652.82826,93,3023.723918,3021.862709,3025.585128,99,3264.871031,3263.171168,3266.570893,147,3547.931813,3545.627542,3550.236083
70,3553.265102,3471.915427,3634.614777,93.78,3016.097777,3014.224566,3017.970988,100,3254.312002,3252.600541,3256.023463,149,3536.189122,3533.869204,3538.50904
70.21,3549.250945,3467.696008,3630.805881,94.49,3009.158064,3007.273077,3011.043051,101,3243.754894,3242.030571,3245.479217,151,3524.447211,3522.109814,3526.784607
71,3534.154673,3451.78374,3616.525607,95.26,3001.634082,2999.735426,3003.532739,102,3233.199707,3231.461288,3234.938125,153,3512.706078,3510.349414,3515.062743
72,3515.055904,3431.555406,3598.556403,96.14,2993.038033,2991.122636,2994.95343,103,3222.646441,3220.892723,3224.400158,155,3500.965725,3498.588047,3503.343404
72,3515.055904,3431.555406,3598.556403,97.33,2981.418558,2979.478682,2983.358434,104.2,3209.985057,3208.211437,3211.758677,157.18,3488.169628,3485.76711,3490.572147
73,3495.968794,3411.234964,3580.702624,98.66,2968.438517,2966.468871,2970.408163,105.86,3192.474703,3190.670876,3194.278529,160,3471.618252,3469.180707,3474.055796
74,3476.893344,3390.827083,3562.959604,100,2955.367749,2953.365651,2957.369847,107,3180.452585,3178.62629,3182.278881,162,3459.880626,3457.416332,3462.344919
74.6,3465.45367,3378.542349,3552.36499,101,2945.617935,2943.590084,2947.645785,108,3169.908924,3168.06181,3171.756038,165,3442.275648,3439.768386,3444.782909
75,3457.829552,3370.336491,3545.322614,102,2935.871959,2933.817101,2937.926817,109.16,3157.680683,3155.808171,3159.553196,167.15,3429.659825,3427.119756,3432.199894
76,3438.77742,3349.767922,3527.786918,103.8,2918.338875,2916.232403,2920.445347,111,3138.289465,3136.374041,3140.204889,170,3412.937913,3410.351885,3415.523941
77,3419.736947,3329.126069,3510.347825,105,2906.657061,2904.514155,2908.799966,112,3127.753487,3125.813458,3129.693517,173,3395.33761,3392.700314,3397.974906
78,3400.708134,3308.415543,3493.000724,106.6,2891.089906,2888.896071,2893.283741,114,3106.687294,3104.695508,3108.679081,176.61,3374.160903,3371.458221,3376.863584
79.24,3377.128597,3282.645843,3471.611351,108,2877.476706,2875.23624,2879.717173,116,3085.628785,3083.582066,3087.675504,180,3354.277054,3351.509542,3357.044566
