one_x,one_y,one_ci_lower,one_ci_upper,two_x,two_y,two_ci_lower,two_ci_upper,three_x,three_y,three_ci_lower,three_ci_upper,four_x,four_y,four_ci_lower,four_ci_upper,five_x,five_y,five_ci_lower,five_ci_upper,six_x,six_y,six_ci_lower,six_ci_upper,seven_x,seven_y,seven_ci_lower,seven_ci_upper,eight_x,eight_y,eight_ci_lower,eight_ci_upper,nine_x,nine_y,nine_ci_lower,nine_ci_upper,ten_x,ten_y,ten_ci_lower,ten_ci_upper
33,4664.429905,4562.700356,4766.159455,47,3845.342146,3779.882991,3910.801302,66,3641.363722,3574.675127,3708.052317,82,3280.687161,3277.038083,3284.336239,95,3217.845327,3173.464593,3262.226062,123,3215.459343,3210.789737,3220.128948,150,3243.114481,3234.68966,3251.539303,183,3200.164567,3186.891294,3213.437839,224,3132.531516,3109.874787,3155.188244,271,3055.313543,3026.678578,3083.948507
33,4664.429905,4562.700356,4766.159455,47,3845.342146,3779.882991,3910.801302,66,3641.363722,3574.675127,3708.052317,82.4,3274.734073,3271.071584,3278.396563,95.64,3210.415542,3165.895178,3254.935906,123.9,3209.497291,3204.80709,3214.187492,151,3237.643938,3229.188719,3246.099158,184.934,3191.745774,3178.390724,3205.100825,225.5,3128.214252,3105.470208,3150.958295,273,3051.027236,3022.200581,3079.853892
33,4664.429905,4562.700356,4766.159455,47.39,3829.016946,3763.303973,3894.729919,66.58,3623.137009,3556.023074,3690.250945,83,3265.806286,3262.12091,3269.491663,96,3206.236644,3161.623901,3250.849387,124,3208.83502,3204.142292,3213.527748,152,3232.175076,3223.684495,3240.665656,186,3187.106786,3173.699045,3200.514527,227,3123.897199,3101.054618,3146.739779,275,3046.755552,3017.724248,3075.786857
33,4664.429905,4562.700356,4766.159455,48,3803.489821,3737.247274,3869.732367,67,3609.942111,3542.46149,3677.422732,83,3265.806286,3262.12091,3269.491663,97,3194.629941,3149.708951,3239.550931,125,3202.214285,3197.493704,3206.934866,153,3226.707894,3218.177057,3235.23873,187,3182.755893,3169.293879,3196.217907,229,3118.141456,3095.150292,3141.13262,277.7636,3040.877002,3011.542501,3070.211504
33.5,4651.929522,4550.375687,4753.483358,48,3803.489821,3737.247274,3869.732367,67,3609.942111,3542.46149,3677.422732,84,3250.931562,3247.200817,3254.662306,97,3194.629941,3149.708951,3239.550931,126,3195.597138,3190.844066,3200.35021,154,3221.242392,3212.666478,3229.818306,188.8,3174.926428,3161.3551,3188.497756,230.5,3113.824896,3090.709603,3136.940188,280,3036.140316,3006.543912,3065.736721
34,4639.433781,4537.993456,4740.874107,48,3803.489821,3737.247274,3869.732367,68,3578.538387,3509.991768,3647.085006,84,3250.931562,3247.200817,3254.662306,98,3183.025218,3137.721338,3228.329097,127,3188.983579,3184.193482,3193.773676,155,3215.778571,3207.152839,3224.404303,190,3169.708315,3156.055965,3183.360665,232,3109.508546,3086.25844,3132.758652,282,3031.919811,3002.077242,3061.762381
34,4639.433781,4537.993456,4740.874107,48.03,3802.234614,3735.961906,3868.507322,68,3578.538387,3509.991768,3647.085006,84.78,3239.333546,3235.561335,3243.105756,98,3183.025218,3137.721338,3228.329097,128,3182.373607,3177.542064,3187.20515,156,3210.31643,3201.636226,3218.996633,191.6,3162.752736,3148.982457,3176.523014,234,3103.753742,3080.307589,3127.199894,284.219,3027.254273,2997.125971,3057.382575
34,4639.433781,4537.993456,4740.874107,48.9,3765.842805,3698.531579,3833.154032,68.44,3564.726415,3495.627238,3633.825591,85,3236.062987,3232.278144,3239.84783,99,3171.422475,3125.662978,3217.181972,128.38,3179.862758,3175.014332,3184.711184,157,3204.855969,3196.116734,3213.595205,193,3156.66839,3142.78586,3170.550919,236,3097.999312,3074.338919,3121.659705,287,3021.432522,2990.928313,3051.936731
35,4614.456227,4513.0559,4715.856554,49,3761.660978,3694.210458,3829.111498,69,3547.152549,3477.278985,3617.026113,85.49,3228.77963,3224.965206,3232.594055,99.94,3160.517703,3114.265563,3206.769842,129,3175.767223,3170.889936,3180.644509,158.24,3198.087332,3189.268708,3206.905956,194.63,3149.586572,3135.562984,3163.610159,238,3092.245258,3068.352924,3116.137592,289,3017.263196,2986.477017,3048.049374
35,4614.456227,4513.0559,4715.856554,49,3761.660978,3694.210458,3829.111498,69,3547.152549,3477.278985,3617.026113,86,3221.200562,3217.35327,3225.047854,100,3159.821713,3113.536058,3206.107368,130,3169.164426,3164.237226,3174.091626,160,3188.48467,3179.541961,3197.42738,196,3143.636116,3129.485587,3157.786645,240,3086.491579,3062.350118,3110.633041,291.7892,3011.47307,2980.278309,3042.66783
35,4614.456227,4513.0559,4715.856554,49.32,3748.280708,3680.357565,3816.203851,70,3515.784598,3444.338158,3587.231037,86.3,3216.743034,3212.87544,3220.610628,101,3148.222931,3101.342991,3195.10287,131,3162.565217,3157.584069,3167.546365,161,3183.030931,3174.011952,3192.04991,198,3134.952185,3120.603052,3149.301318,242,3080.738275,3056.33103,3105.14552,294,3006.903854,2975.373199,3038.434508
36,4589.497242,4487.888011,4691.106472,50,3719.855618,3650.79555,3788.915687,70,3515.784598,3444.338158,3587.231037,87,3206.344287,3202.426607,3210.261968,102,3136.626129,3089.086371,3184.165887,132,3155.969596,3150.930603,3161.008589,162,3177.578873,3168.479582,3186.678163,199.39,3128.918856,3114.422718,3143.414995,244,3074.985347,3050.296204,3099.67449,297,3000.732116,2968.729657,3032.734575
36,4589.497242,4487.888011,4691.106472,50,3719.855618,3650.79555,3788.915687,71,3484.434532,3411.185592,3557.683473,87.3,3201.888604,3197.948323,3205.828885,102,3136.626129,3089.086371,3184.165887,133,3149.377562,3144.27697,3154.478155,163.84,3167.551476,3158.294224,3176.808728,201,3121.932666,3107.257396,3136.607935,246,3069.232793,3044.246186,3094.2194,300,2994.593279,2962.10173,3027.084828
36.3868,4579.848087,4478.091694,4681.60448,50.06,3717.348044,3648.179224,3786.516863,71,3484.434532,3411.185592,3557.683473,88,3191.494163,3187.498586,3195.48974,103,3125.031307,3076.768924,3173.293691,134,3142.789117,3137.623312,3147.954922,165,3161.23278,3151.869418,3170.596141,203,3113.257237,3098.346716,3128.167759,248,3063.480615,3038.181532,3088.779698,302,2990.518999,2957.692375,3023.345623
37,4564.556826,4462.491932,4666.62172,51,3678.073742,3607.030549,3749.116935,72,3453.102354,3377.838233,3528.366474,88.53,3183.62609,3179.586334,3187.665846,104,3113.438466,3064.393463,3162.483469,135,3136.204258,3130.969773,3141.438744,166.4678,3153.240691,3143.736157,3162.745226,205,3104.58521,3089.425968,3119.744451,251,3054.853051,3029.058313,3080.647789,305,2984.434996,2951.093067,3017.776925
37.12,4561.565224,4459.429236,4663.701213,51,3678.073742,3607.030549,3749.116935,72,3453.102354,3377.838233,3528.366474,89,3176.650188,3172.569648,3180.730729,105,3101.847605,3051.962848,3151.732362,136.55,3126.004818,3120.657357,3131.352279,168,3144.901811,3135.242033,3154.561588,207,3095.916583,3080.495827,3111.337339,253,3049.101811,3022.959476,3075.244146,308.53,2977.318286,2943.351779,3011.284793
38,4539.63498,4436.871554,4642.398406,51.42,3660.532356,3588.552243,3732.51247,73,3421.788061,3344.313114,3499.263008,90,3161.812364,3157.640235,3165.984492,106,3090.258724,3039.47995,3141.037498,138,3116.47121,3111.011294,3121.931126,170,3134.0229,3124.149029,3143.89677,209,3087.251358,3071.556953,3102.945762,256,3040.475654,3013.787532,3067.163775,312,2970.366937,2935.768712,3004.965163
38.4,4529.671441,4426.561782,4632.7811,52,3636.315348,3562.946427,3709.68427,73,3421.788061,3344.313114,3499.263008,90,3161.812364,3157.640235,3165.984492,106.6,3083.306346,3031.966302,3134.64639,139,3109.900702,3104.359644,3115.44176,171,3128.585965,3118.600429,3138.571501,211,3078.589533,3062.60999,3094.569077,258,3034.725351,3007.657882,3061.792821,316,2962.40847,2927.061996,2997.754944
39,4514.731704,4411.032385,4618.431022,52,3636.315348,3562.946427,3709.68427,74,3390.491655,3310.626905,3470.356406,91,3146.980689,3142.710786,3151.250592,107.42,3073.805916,3021.669973,3125.941858,140,3103.333782,3097.708809,3108.958755,173,3117.717137,3107.499561,3127.934712,213.42,3068.113273,3051.774239,3084.452307,261,3026.100601,2998.442157,3053.759046,319,2956.478004,2920.557351,2992.398657
40,4489.846997,4384.981373,4594.712621,53,3594.580438,3518.575292,3670.585584,74.28,3381.731867,3301.168096,3462.295638,92,3132.155165,3127.781725,3136.528605,108.33,3063.264314,3010.207827,3116.320801,142,3090.210705,3084.410095,3096.011315,175,3106.85503,3096.394478,3117.315582,216,3056.949852,3040.211229,3073.688474,264,3017.476695,2989.202417,3045.750974,323,2948.621894,2911.919727,2985.324061
40.94,4466.472304,4360.30755,4572.637058,53,3594.580438,3518.575292,3670.585584,75,3359.213136,3276.795582,3441.630689,92.7,3121.780957,3117.331833,3126.230081,109.57,3048.902573,2994.53212,3103.273026,143,3083.654548,3077.762465,3089.546632,177,3095.999645,3085.285957,3106.713332,218,3048.299931,3031.240715,3065.359146,267.8074,3006.533024,2977.443875,3035.622174,327,2940.824275,2903.323781,2978.324768
41.27,4458.270186,4351.604172,4564.9362,54,3552.869011,3473.948889,3631.789133,76,3327.952503,3242.834207,3413.070798,93.16,3114.965261,3110.46504,3119.465483,110.95,3032.922925,2977.014833,3088.831018,145,3070.552997,3064.47124,3076.634755,179,3085.150981,3074.174733,3096.127229,221,3035.331426,3017.774851,3052.888001,271,2997.357531,2967.558461,3027.156601,332,2931.159502,2892.639513,2969.67949
42,4440.133292,4332.277487,4547.989096,54.27,3541.610952,3461.859972,3621.361932,76.68,3306.705489,3219.67338,3393.737597,94,3102.522566,3097.926386,3107.118746,112,3020.767024,2963.639681,3077.894368,146.54,3060.474582,3054.241117,3066.708048,181,3074.309039,3063.061498,3085.55658,224,3022.370574,3004.298386,3040.442762,274,2988.736439,2958.249762,3019.223116,336,2923.493485,2884.142054,2962.844916
43.2208,4409.824553,4299.73907,4519.910036,55,3511.181067,3429.097522,3593.264612,77,3296.709756,3208.756789,3384.662722,95,3087.715492,3083.000868,3092.430115,113,3009.192005,2950.866588,3067.517422,148,3050.927579,3044.546114,3057.309044,184,3058.05873,3046.389278,3069.728181,227,3009.417374,2990.812894,3028.021854,278,2977.242962,2945.810876,3008.675049,341,2913.993216,2873.584297,2954.402134
44.674,4373.782111,4260.674106,4486.890116,56,3469.516606,3384.049361,3554.98385,78,3265.484895,3174.576225,3356.393565,96,3072.914567,3068.077255,3077.75188,114.42,2992.758881,2932.674722,3052.843039,150,3037.861904,3031.271653,3044.452156,186,3047.233592,3035.273751,3059.193433,230,2996.471826,2977.319821,3015.62383,282.1118,2965.429808,2932.994607,2997.865008,347,2902.713528,2861.01105,2944.416006
46,4340.928715,4224.739756,4457.117674,56.38,3453.690268,3366.884885,3540.495651,79,3234.277921,3140.304292,3328.25155,97.3,3053.68256,3048.679934,3058.685187,116,2974.47883,2912.364922,3036.592737,152.6,3020.897982,3014.026898,3027.769066,189,3031.008488,3018.600738,3043.416238,234,2979.222999,2959.319537,2999.126461,287,2951.388128,2917.723069,2985.053186,352,2893.414318,2850.614891,2936.213745
47.7,4298.856739,4178.308011,4419.405468,57,3427.875628,3338.830078,3516.921178,80,3203.088833,3105.951675,3300.225992,99,3028.548695,3023.320966,3033.776424,118,2951.346614,2886.564487,3016.12874,155,3005.260503,2998.121829,3012.399177,192,3014.798508,3001.929517,3027.667499,238,2961.987776,2941.310934,2982.664618,292,2937.027613,2902.066885,2971.988341,359,2880.548961,2836.186741,2924.91118
49.88,4244.984152,4118.246219,4371.722084,58,3386.258133,3293.462722,3479.053544,81,3171.917632,3071.528027,3272.307238,100,3013.772371,3008.407986,3019.136756,119.76,2930.996816,2863.785093,2998.20854,157.6,2988.34322,2980.906725,2995.779715,195.39,2996.499431,2983.095031,3009.903832,242,2944.766157,2923.296497,2966.235817,297,2922.669444,2886.379028,2958.959859,366,2867.862729,2821.907775,2913.817683
53,4168.035633,4031.451466,4304.6198,59,3344.664121,3247.967767,3441.360475,82.98,3110.251422,3003.192787,3217.310057,102,2984.238173,2978.592159,2989.884187,122,2905.105945,2834.704806,2975.507084,160.3,2970.800942,2963.04753,2978.554355,199,2977.034036,2963.044909,2991.023162,247,2923.258264,2900.773553,2945.742975,303,2905.442736,2867.516889,2943.368582,372.0914,2856.968929,2809.604458,2904.333401
56,4094.21714,3947.275474,4241.158807,60.4,3286.471956,3184.0944,3388.849512,84,3078.511347,2967.913388,3189.109305,103.33,2964.61155,2958.772781,2970.45032,124,2881.997493,2808.667603,2955.327382,164,2946.804002,2938.60546,2955.002545,203.2,2954.414875,2939.72906,2969.100691,252.97,2897.605681,2873.878781,2921.332582,310,2885.349177,2845.467291,2925.231063,381,2841.281125,2791.816386,2890.745865
61,3971.55771,3805.895773,4137.219648,62,3220.022984,3110.886906,3329.159062,86,3016.329921,2898.618904,3134.040939,105.64,2930.549062,2924.36655,2936.731574,127,2847.349666,2769.50326,2925.196071,168,2920.916615,2912.225035,2929.608195,209,2923.227624,2907.555263,2938.899985,259,2871.726046,2846.716122,2896.73597,318,2862.390738,2820.218977,2904.562498,390,2825.726971,2774.093079,2877.360863
67,3824.979188,3635.167773,4014.790604,64,3137.046308,3019.137691,3254.954925,88,2954.220042,2829.201207,3079.238876,108,2895.783181,2889.23943,2902.326931,130,2812.719661,2730.23087,2895.208452,172.41,2892.4423,2883.195535,2901.689064,215,2891.024436,2874.307001,2907.741872,267,2837.439254,2810.690699,2864.187809,327.439,2835.310369,2790.374032,2880.246706,403,2803.782615,2748.927868,2858.637361
73.6233,3663.94988,3446.108041,3881.791719,66,3054.163564,2927.194757,3181.132372,90.3,2882.882128,2749.262609,3016.501648,111,2851.63871,2844.62368,2858.653741,134.71,2758.386509,2668.403467,2848.369551,178,2856.449282,2846.484885,2866.41368,222,2853.530509,2835.568717,2871.492301,276,2798.931657,2770.186886,2827.676429,339.32,2801.235812,2752.740463,2849.731162,417,2780.841144,2722.392626,2839.289662
83.4584,3426.33645,3165.318633,3687.354267,69,2930.015572,2789.045051,3070.986094,94,2768.319676,2620.519059,2916.120294,115.88,2779.94862,2772.14445,2787.752789,140,2697.415029,2598.780371,2796.049687,186,2805.133728,2794.122087,2816.145368,232,2800.110591,2780.335306,2819.885876,288,2747.695326,2716.237617,2779.153035,355,2756.28604,2702.987306,2809.584773,437.2544,2748.918877,2685.01095,2812.826805
95,3149.785177,2836.868866,3462.701487,73.67,2737.1791,2573.720753,2900.637447,99,2613.894581,2446.440547,2781.348614,122,2690.249206,2681.42691,2699.071501,148.86,2595.420574,2481.897847,2708.943302,197,2734.949751,2722.471846,2747.427656,246,2725.605013,2703.240937,2747.969089,306,2671.070397,2635.464135,2706.67666,376,2696.121575,2636.248628,2755.994522,466,2706.18846,2633.904723,2778.472197
123,2489.149669,2048.692657,2929.606681,82.06,2392.020693,2186.920268,2597.121117,109,2306.385868,2098.610527,2514.161209,134,2515.036635,2504.162038,2525.911232,164,2421.491856,2281.807116,2561.176597,217.01,2608.391807,2593.204602,2623.579013,271.55,2590.481362,2563.305266,2617.657458,339,2531.306846,2487.945158,2574.668533,414.68,2585.412619,2513.15122,2657.674019,518.5192,2635.91956,2545.907323,2725.931797
