one_x,one_y,one_ci_lower,one_ci_upper,two_x,two_y,two_ci_lower,two_ci_upper,three_x,three_y,three_ci_lower,three_ci_upper,four_x,four_y,four_ci_lower,four_ci_upper,five_x,five_y,five_ci_lower,five_ci_upper,six_x,six_y,six_ci_lower,six_ci_upper,seven_x,seven_y,seven_ci_lower,seven_ci_upper,eight_x,eight_y,eight_ci_lower,eight_ci_upper,nine_x,nine_y,nine_ci_lower,nine_ci_upper,ten_x,ten_y,ten_ci_lower,ten_ci_upper
24,4890.23065,4775.435919,5005.025382,37,4265.156973,4184.638345,4345.675602,52,4083.144342,3999.085842,4167.202842,63,3564.592295,3559.931404,3569.253185,74,3462.085119,3405.975057,3518.195181,93,3415.857281,3409.771516,3421.943046,111,3457.776372,3446.86156,3468.691185,130.54,3429.738499,3412.226482,3447.250516,157,3325.584546,3295.990811,3355.17828,184,3255.920635,3218.567981,3293.273289
24.3,4882.679726,4768.590759,4996.768693,37.4,4248.319293,4169.061062,4327.577524,52.3,4073.640858,3990.402286,4156.879429,63.5,3557.092663,3552.491359,3561.693967,75,3450.43485,3395.460713,3505.408987,94,3409.125328,3403.138905,3415.111752,112,3452.240294,3441.460033,3463.020554,132,3423.317634,3406.05397,3440.581299,158.2,3322.123177,3292.797518,3351.448835,187,3248.54254,3212.055698,3285.029382
25,4865.067401,4752.561739,4977.573063,38,4223.069817,4145.625569,4300.514065,53,4051.472322,3970.093549,4132.851094,64,3549.594569,3545.051649,3554.137488,75,3450.43485,3395.460713,3505.408987,95,3402.396964,3396.507429,3408.286498,113,3446.705895,3436.057667,3457.354123,133,3418.920828,3401.824459,3436.017196,160,3316.931376,3288.00147,3345.861282,189,3243.642088,3207.713571,3279.570605
25,4865.067401,4752.561739,4977.573063,38,4223.069817,4145.625569,4300.514065,53,4051.472322,3970.093549,4132.851094,64.76,3538.20041,3533.743832,3542.656988,76,3438.786562,3384.907052,3492.666071,95.62,3398.227179,3392.396435,3404.057924,114,3441.173177,3430.654371,3451.691983,134,3414.524872,3397.59344,3431.456303,161.94,3311.336109,3282.823864,3339.848354,191,3238.756259,3203.370612,3274.141905
25,4865.067401,4752.561739,4977.573063,38,4223.069817,4145.625569,4300.514065,53.3,4041.974204,3961.368665,4122.579743,65,3534.602993,3530.173055,3539.03293,76,3438.786562,3384.907052,3492.666071,96,3395.672187,3389.876974,3401.467399,115,3435.64214,3425.250054,3446.034226,135,3410.129765,3393.360845,3426.898686,163,3308.27905,3279.990983,3336.567118,193,3233.885052,3199.026517,3268.743586
25,4865.067401,4752.561739,4977.573063,38.46,4203.71761,4127.598295,4279.836926,54,4019.818188,3940.958272,4098.678104,65.76,3523.213508,3518.865867,3527.561149,77,3427.140253,3374.311543,3479.968963,97,3388.950997,3383.247422,3394.654573,115.3,3433.983156,3423.628545,3444.337767,136,3405.73551,3389.126607,3422.344412,165,3302.511302,3274.638165,3330.38444,195,3229.028467,3194.68098,3263.375955
25,4865.067401,4752.561739,4977.573063,39,4181.006143,4106.364919,4255.647368,54,4019.818188,3940.958272,4098.678104,66,3519.617567,3515.295242,3523.939892,77,3427.140253,3374.311543,3479.968963,97.58,3385.054351,3379.402646,3390.706057,116,3430.112783,3419.844619,3440.380947,137.44,3399.409275,3383.026274,3415.792275,166,3299.627569,3271.957833,3327.297305,196.9868,3224.218414,3190.36239,3258.074439
25.37,4855.761705,4744.056089,4967.467321,39,4181.006143,4106.364919,4255.647368,54,4019.818188,3940.958272,4098.678104,66.35,3514.374121,3510.088119,3518.660123,78,3415.495925,3363.671555,3467.320296,98,3382.233396,3376.618648,3387.848143,117,3424.585106,3414.437968,3434.732243,138.78,3393.523946,3377.346196,3409.701696,167.6392,3294.900756,3267.558374,3322.243138,198.6738,3220.145507,3186.693877,3253.597137
25.9,4842.436353,4731.831037,4953.041669,39,4181.006143,4106.364919,4255.647368,54.7,3997.670937,3920.470272,4074.871602,67,3504.638291,3500.417811,3508.858771,78,3415.495925,3363.671555,3467.320296,99,3375.519382,3369.990528,3381.048235,118,3419.059109,3409.030003,3429.088215,140,3388.166989,3372.171793,3404.162184,169,3290.976932,3263.90042,3318.053443,200.47736,3215.802697,3182.770067,3248.835326
26,4839.922721,4729.518863,4950.326578,39.21,4172.175755,4098.085817,4246.265694,55,3988.181941,3911.664579,4064.699302,67,3504.638291,3500.417811,3508.858771,79,3403.853577,3352.984372,3454.722782,99,3375.519382,3369.990528,3381.048235,118.51,3416.241498,3406.271402,3426.211594,141,3383.776984,3367.928257,3399.625712,170,3288.093573,3261.208937,3314.97821,202,3212.145574,3179.455794,3244.835354
