Smallest quintile,,,,Second smallest,,,,Middle,,,,Second biggest,,,,Biggest quintile,,,
x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper,x,y,ci_lower,ci_upper
107,3430.26576,3226.460201,3634.071319,105,3418.633997,3401.930471,3435.337524,109.2,3356.40631,3343.836698,3368.975922,108.51,3298.62139,3292.359249,3304.883531,119.66,3247.489668,3240.522738,3254.456598
108.61,3405.595908,3199.114513,3612.077303,106.34,3405.708612,3388.772365,3422.644859,111,3341.346416,3328.562017,3354.130815,110,3291.844882,3285.526849,3298.162915,121.73,3241.216826,3234.183032,3248.25062
110.08,3383.076367,3173.990557,3592.162177,108,3389.704879,3372.463941,3406.945816,112.6,3327.990798,3315.003747,3340.97785,111.93,3283.067751,3276.670004,3289.465497,123.98,3234.402436,3227.288311,3241.516562
112,3353.670429,3140.960991,3566.379868,109.64,3373.902992,3356.344122,3391.461862,114.35,3313.416451,3300.19585,3326.637051,113.65,3275.246113,3268.770598,3281.721627,126.03,3228.197324,3221.0033,3235.391347
113.76,3326.722291,3110.480494,3542.964089,111,3360.805797,3342.971198,3378.640397,116.19,3298.130152,3284.651408,3311.608896,115.53,3266.697386,3260.129893,3273.264879,128.75,3219.969427,3212.659915,3227.278939
115.7,3297.026189,3076.669448,3517.38293,112.86,3342.903452,3324.675022,3361.131882,118.1,3282.303066,3268.543624,3296.062507,117.62,3257.194367,3250.51643,3263.872305,131.22,3212.502939,3205.0796,3219.926277
117.8,3264.890492,3039.83246,3489.948525,114.29,3329.147672,3310.604046,3347.691297,120.2,3264.949475,3250.867531,3279.031418,119.91,3246.782718,3239.974349,3253.591087,134,3204.105242,3196.54412,3211.666364
120,3231.235194,3000.99368,3461.476707,116.21,3310.689106,3291.706383,3329.67183,122.55,3245.589485,3231.130797,3260.048174,122,3237.281066,3230.345521,3244.216612,137,3195.049969,3187.329315,3202.770623
122.28,3196.367586,2960.4939,3432.241271,118.26,3290.994323,3271.523994,3310.464652,125,3225.472583,3210.604876,3240.34029,125,3223.643472,3216.512668,3230.774277,140.36,3184.916676,3177.004847,3192.828505
125,3154.78648,2911.873215,3397.699744,120.56,3268.914433,3248.87575,3288.953116,127.5,3205.015549,3189.715014,3220.316084,127.8,3210.916264,3203.590657,3218.241871,144,3173.949212,3165.816475,3182.081948
127.77,3112.458166,2862.04699,3362.869342,123,3245.50985,3224.845711,3266.173989,130.2,3183.001842,3167.218079,3198.785605,130.86,3197.008582,3189.457353,3204.55981,147.92,3162.150041,3153.76469,3170.535392
130.9,3064.649527,2805.403335,3323.89572,125.32,3223.27474,3201.996334,3244.553146,133.3,3157.829156,3141.472594,3174.185717,134,3182.738754,3174.943368,3190.53414,152,3149.882426,3141.219425,3158.545428
134,3017.3209,2748.981879,3285.659921,128,3197.611717,3175.602219,3219.621214,136.8,3129.539825,3112.516291,3146.563359,137.6,3166.380253,3158.290685,3174.469821,157,3134.866884,3125.845269,3143.888498
138,2956.283734,2675.763709,3236.803758,131,3168.912887,3146.060418,3191.765356,140.52,3099.625137,3081.872346,3117.377928,141.94,3146.661745,3138.199465,3155.124024,162.07,3119.661701,3110.258173,3129.065228
142.26,2891.318837,2597.337843,3185.29983,134.71,3133.463543,3109.536891,3157.390195,144.68,3066.358683,3047.76922,3084.948146,146.51964,3125.857497,3116.983135,3134.73186,168.4748,3100.483008,3090.574214,3110.391801
147.1654,2816.562312,2506.543453,3126.581172,139,3092.529525,3067.322945,3117.736105,149.46,3028.377409,3008.803487,3047.951331,152,3100.965603,3091.576278,3110.354929,175.5,3079.4846,3068.99668,3089.97252
153,2727.715789,2397.98721,3057.444367,143.52,3049.467361,3022.874978,3076.059744,155.02,2984.525486,2963.781062,3005.269911,158.08,3073.355381,3063.371186,3083.339577,183.89,3054.458916,3043.251106,3065.666727
159.8,2624.265509,2270.848295,2977.682722,149,2997.3507,2969.035513,3025.665886,162,2929.972032,2907.727611,2952.216452,165.8,3038.30562,3027.536708,3049.074531,193.7,3025.269619,3013.18866,3037.350579
167.91,2501.022213,2118.542091,2883.502334,155.69,2933.862393,2903.392584,2964.332202,170,2868.128498,2844.132993,2892.124003,174.63,2998.227231,2986.528491,3009.925971,206,2988.781028,2975.568259,3001.993796
178,2347.897036,1928.304264,2767.489807,164,2855.208247,2822.000768,2888.415726,180,2791.848319,2765.628923,2818.067716,186,2946.637213,2933.702135,2959.57229,222,2941.498694,2926.768441,2956.228947
191.72,2140.051646,1668.748126,2611.355167,175.01,2751.35357,2714.441985,2788.265155,193.4638,2690.943819,2661.68697,2720.200669,201.43,2876.656304,2861.992041,2891.320567,244,2876.822432,2859.949339,2893.695525
211.4026,1842.619834,1295.440993,2389.798674,191.4654,2596.88795,2554.331284,2639.444616,213.5996,2543.885732,2510.022112,2577.749351,224,2774.356821,2757.091619,2791.622022,278,2777.635612,2757.376013,2797.895212
248.3528,1286.610333,593.9752123,1979.245453,221.8052,2314.459732,2261.311941,2367.607524,250.2446,2288.095573,2245.686339,2330.504807,266,2584.19252,2561.957973,2606.427066,344.3972,2586.62451,2559.643008,2613.606012
15439.11,33591.3026,-142899.0039,210081.6091,8190,34496.4509,22587.97101,46404.93078,3039.28,27664.15764,22944.97808,32383.3372,60506.7,969.6288642,-3122.427423,5061.685152,10815.25,16933.99806,11764.5756,22103.42052
