band_g_x,band_g_y,band_g_ci_lower,band_g_ci_upper,band_f_x,band_f_y,band_f_ci_lower,band_f_ci_upper,band_e_x,band_e_y,band_e_ci_lower,band_e_ci_upper,band_d_x,band_d_y,band_d_ci_lower,band_d_ci_upper,band_c_x,band_c_y,band_c_ci_lower,band_c_ci_upper,band_b_x,band_b_y,band_b_ci_lower,band_b_ci_upper,band_a_x,band_a_y,band_a_ci_lower,band_a_ci_upper
104,3214.055804,3187.711369,3240.400238,115,3416.600224,3091.873027,3741.327421,103,3259.116333,3254.698759,3263.533907,96,3362.867729,3350.377013,3375.358445,91,3505.362843,3474.35243,3536.373256,104,3803.650077,3731.390918,3875.909235,126,3598.401507,3364.18637,3832.616644
105.86,3207.973891,3181.640973,3234.306809,117,3407.784572,3082.894435,3732.674709,104,3255.715314,3251.2929,3260.137729,97,3357.182413,3344.664888,3369.699938,92.2,3496.215096,3465.155786,3527.274406,106,3783.930187,3711.252849,3856.607526,128,3580.505057,3344.90774,3816.102373
107,3204.247687,3177.912304,3230.583069,119,3398.969501,3073.673982,3724.26502,105,3252.315347,3247.886348,3256.744347,98,3351.499745,3338.948523,3364.050967,94,3482.505884,3451.335577,3513.676191,107,3774.077963,3701.155485,3847.00044,129,3571.582055,3335.215467,3807.948643
108.7,3198.693071,3172.340593,3225.045549,120.96534,3390.30776,3064.37863,3716.236891,106.69,3246.571795,3242.127729,3251.015861,99,3345.819724,3333.227984,3358.411465,95,3474.896088,3443.644802,3506.147374,108,3764.230884,3691.039613,3837.422156,130,3562.675869,3325.489213,3799.862525
110,3194.447043,3168.070682,3220.823404,122.6,3383.103836,3056.471057,3709.736615,108,3242.121759,3237.662643,3246.580875,100,3340.142352,3327.503348,3352.781356,96.18,3465.92244,3434.558085,3497.286795,109,3754.388953,3680.905536,3827.87237,132,3544.913944,3305.938833,3783.889055
112,3187.917433,3161.486128,3214.348737,124.67,3373.98193,3046.22968,3701.734181,109,3238.726,3234.253436,3243.198564,101,3334.467627,3321.774701,3347.160553,98,3452.094275,3420.518924,3483.669627,110,3744.552168,3670.753578,3818.350758,134,3527.219282,3286.264865,3768.173699
114,3181.391144,3154.882993,3207.899295,126.96764,3363.857608,3034.566913,3693.148304,110.64,3233.159233,3228.660991,3237.657474,102,3328.79555,3316.042138,3341.548962,99,3444.502862,3412.793006,3476.212718,111.22,3732.55826,3658.344468,3806.772051,136,3509.591883,3266.475718,3752.708048
116,3174.868177,3148.261506,3201.474848,129,3354.902855,3023.995304,3685.810406,112,3228.545035,3224.022138,3233.067931,103.53,3320.122397,3307.263977,3332.980818,101,3429.333822,3397.316384,3461.351261,113,3715.072692,3640.193878,3789.951506,138,3492.031747,3246.579877,3737.483618
118,3168.348532,3141.621946,3195.075119,131,3346.091268,3013.361549,3678.820987,113.73,3222.678315,3218.119743,3227.236888,105,3311.795206,3298.822028,3324.768384,102.32,3419.332326,3387.084386,3451.580266,113.95,3705.747181,3630.485307,3781.009056,140,3474.538874,3226.585837,3722.49191
120,3161.832209,3134.964636,3188.699781,133.38,3335.606236,3000.414774,3670.797698,115,3218.373537,3213.785764,3222.96131,106,3306.13372,3293.07491,3319.19253,104,3406.614729,3374.042763,3439.186696,115,3695.445442,3619.737917,3771.152966,143,3448.425682,3196.429116,3700.422248
122,3155.319207,3128.289945,3182.348468,136,3324.064841,2985.80278,3662.326902,117,3211.597798,3206.959014,3216.236582,107.98,3294.93179,3281.685923,3308.177657,106,3391.491645,3358.490651,3424.49264,116,3685.639536,3609.486253,3761.792819,145,3431.100966,3176.226323,3685.975608
124.342,3147.696704,3120.452337,3174.941071,138.55,3312.832761,2971.228743,3654.436779,118.9,3205.164744,3200.471974,3209.857514,109,3289.16515,3275.814119,3302.516181,107.82,3377.745614,3344.31494,3411.176288,118,3666.043165,3588.937588,3743.148743,148,3405.240009,3145.794965,3664.685053
127,3139.051235,3111.529928,3166.572541,141,3302.042044,2956.908327,3647.175761,120.47,3199.851875,3195.110575,3204.593175,111,3277.866009,3264.292111,3291.439907,109,3368.841486,3335.113008,3402.569964,119,3656.252699,3578.641416,3733.863983,151,3379.530394,3115.234529,3643.82626
129.204,3131.886905,3104.110279,3159.663531,144,3288.830108,2938.963007,3638.697209,122.52,3192.918592,3188.108784,3197.7284,112,3272.22041,3258.527091,3285.913728,111,3353.764357,3319.498009,3388.030705,121,3636.687208,3558.007499,3715.366917,155,3345.486328,3074.330121,3616.642536
132,3122.804023,3094.671129,3150.936917,147,3275.619478,2920.583401,3630.655555,124.93,3184.773411,3179.875946,3189.670877,114,3260.937155,3246.989753,3274.884557,113,3338.705611,3303.861591,3373.54963,123,3617.142302,3537.320986,3696.963619,158,3320.129843,3043.564766,3596.69492
135.1942,3112.435522,3083.853069,3141.017974,150,3262.410155,2901.788389,3623.031922,127,3177.78222,3172.80363,3182.760811,116,3249.664492,3235.443658,3263.885325,115,3323.665246,3288.2059,3359.124592,125,3597.617984,3516.585287,3678.65068,161,3294.9247,3012.749488,3577.099912
138.52,3101.648845,3072.552415,3130.745275,153.52,3246.912882,2879.231811,3614.593953,129,3171.031728,3165.969905,3176.093551,118,3238.40242,3223.889971,3252.914869,117,3308.643264,3272.533057,3344.753472,126,3587.863544,3506.200053,3669.527036,164,3269.870898,2981.904912,3557.836884
142,3090.371881,3060.690294,3120.053468,157,3231.593483,2856.42582,3606.761145,132,3160.913879,3155.718803,3166.108956,120,3227.150939,3212.32983,3241.972047,119,3293.639665,3256.845138,3330.434192,128,3568.370105,3485.396913,3651.343297,167,3244.968438,2951.050197,3538.886678
145.189,3080.046734,3049.788909,3110.30456,161,3213.98715,2829.629616,3598.344684,134.4,3152.826417,3147.517949,3158.134885,122,3215.910049,3200.764345,3231.055753,122,3271.168732,3233.289381,3309.048082,130,3548.897252,3464.552964,3633.241539,171,3212.000577,2909.925238,3514.075917
149,3067.718791,3036.725402,3098.712181,165,3196.383139,2802.252736,3590.513543,137.27,3143.163115,3137.711722,3148.614507,124,3204.67975,3189.19458,3220.164921,124,3256.211087,3217.572434,3294.849741,132,3529.444985,3443.671441,3615.218529,177,3163.053258,2848.345241,3477.761275
153.332,3053.720148,3021.833113,3085.607184,169.1732,3178.019351,2773.117513,3582.92119,140.85,3131.121385,3125.481447,3136.761323,127,3187.854161,3171.834118,3203.874204,127,3233.809088,3193.981902,3273.636273,135,3500.305185,3412.285544,3588.324825,182,3122.726258,2797.197798,3448.254717
158,3038.653181,3005.740529,3071.565834,174,3156.782609,2738.748908,3574.816311,144,3120.537159,3114.722761,3126.351556,130,3171.052402,3154.469514,3187.63529,130,3211.448448,3170.378339,3252.518557,139,3461.524169,3370.334564,3552.713775,186,3090.76734,2756.430803,3425.103877
163,3022.534684,2988.458299,3056.61107,179.4,3133.027936,2699.525058,3566.530813,148,3107.111914,3101.065628,3113.1582,133,3154.274473,3137.103701,3171.445246,133.38,3186.305011,3143.776,3228.834021,141,3442.164541,3349.321208,3535.007874,194,3027.65666,2675.401219,3379.912101
169,3003.219892,2967.667791,3038.771994,185,3108.397931,2658.073514,3558.722348,152,3093.7035,3087.415,3099.991999,136,3137.520375,3119.739336,3155.301413,137,3159.434466,3115.281694,3203.587238,144,3413.163699,3317.761222,3508.566175,201,2973.31764,2605.155117,3341.480162
175.64,2981.879704,2944.606281,3019.153128,192,3077.616827,2605.278748,3549.954906,157,3076.966651,3070.362701,3083.570601,140,3115.218646,3096.593198,3133.844094,141.6,3125.376459,3079.080497,3171.672421,149,3364.931893,3265.074713,3464.789073,210,2904.663917,2515.879192,3293.448642
183,2958.268303,2918.993992,2997.542614,199.0271,3046.723712,2551.323001,3542.124423,162,3060.256101,3053.324518,3067.187685,144,3092.959281,3073.458834,3112.459729,146,3092.890227,3044.47217,3141.308284,154,3316.828752,3212.309398,3421.348106,217,2852.208257,2447.333449,3257.083065
191,2932.654757,2891.112018,2974.197497,207.1302,3011.109097,2488.084068,3534.134126,168,3040.238155,3032.899787,3047.576523,149,3065.194652,3044.563884,3085.82542,152,3048.7342,2997.327162,3100.141239,160,3259.27482,3148.928585,3369.621054,230,2756.976646,2322.277861,3191.675431
201,2900.712563,2856.221443,2945.203684,217,2967.742386,2409.810528,3525.674244,175,3016.931748,3009.103168,3024.760327,154.3,3035.836416,3013.97033,3057.702502,158,3004.743614,2950.256973,3059.230255,166,3201.906165,3085.520472,3318.291858,240,2685.655368,2228.177009,3143.133728
215,2856.133002,2807.348657,2904.917348,228.23064,2918.41351,2319.373913,3517.453108,183,2990.35897,2981.953453,2998.764487,161,2998.829616,2975.357375,3022.301857,166,2946.346849,2887.642481,3005.051218,173,3135.210238,3011.557658,3258.862818,253,2595.451657,2108.679922,3082.223392
229,2811.716203,2758.493145,2864.939262,242,2857.958681,2206.904994,3509.012369,192.63,2958.461287,2949.342716,2967.579857,169,2954.798083,2929.356685,2980.23948,175,2881.002049,2817.435989,2944.56811,183,3040.367802,2906.00749,3174.728114,266.85,2502.476663,1984.963935,3019.98939
247,2754.848052,2695.765299,2813.930805,259.22,2782.39244,2064.355808,3500.429072,205,2917.630972,2907.574039,2927.687905,179,2899.996968,2872.035017,2927.95892,186.38,2798.91009,2729.069292,2868.750888,195,2927.236228,2779.648031,3074.824426,289,2360.488227,1794.846725,2926.12973
272.26,2675.496798,2607.997746,2742.995851,283,2678.109833,1864.990512,3491.229153,221,2865.057672,2853.760478,2876.354865,193,2823.720239,2792.15213,2855.288347,202,2687.201088,2608.595246,2765.80693,214,2749.626908,2580.531656,2918.722159,323.82,2153.959756,1514.769061,2793.150451
312,2551.730895,2470.735466,2632.726324,316.8,2530.02772,1578.283835,3481.771606,246,2783.45101,2770.177889,2796.724131,213,2715.653734,2678.835594,2752.471874,225,2524.753824,2433.066469,2616.441178,240.79108,2502.344569,2302.259261,2702.429877,379.44,1866.353707,1110.97808,2621.729333
388,2318.689457,2211.584097,2425.794817,380,2253.585458,1036.369709,3470.801207,292,2635.012569,2618.042408,2651.98273,251,2513.245251,2466.294646,2560.195856,270,2213.953416,2096.495119,2331.411713,303,1942.401969,1669.361857,2215.442081,465,1525.492152,572.544383,2478.439921
8662.6,5636.128981,-2522.994858,13795.25282,60506.7,1956.721615,-147770.8875,151684.3307,10815.25,27177.17672,21353.34704,33001.00639,9210,61504.59206,41688.98763,81320.19648,5897.25,36691.48523,19668.28621,53714.68426,8190,92285.27829,28428.13282,156142.4238,1807,12286.76696,-6020.946117,30594.48004
